From the coast of,Direction,Bearing (deg),Distance (km) From-To,Depth (mtr) From-To,Latitude (dms),Longitude (dms),Temperature (C),Wind Speed (km/h),Wind Direction (deg),Weather Code,Wave Height (m)
Namkhana,SE,142,112-117,45-50,21 0 37 N,88 53 29 E,28.8,26.3,238,55,1.7
Kakdwip,SE,147,118-123,42-47,20 58 5 N,88 48 39 E,28.8,25.8,238,55,1.72
Frasergunje,SE,156,73-78,27-32,20 57 1 N,88 32 29 E,29.0,23.7,237,53,1.66
FrezerganjFH,SE,153,75-80,40-45,20 56 47 N,88 37 56 E,28.9,25.0,239,55,1.68
Lothian Island,SE,151,82-87,48-53,20 56 36 N,88 43 24 E,28.8,26.5,239,55,1.7
Sagar,SE,153,88-93,35-40,20 55 37 N,88 27 13 E,29.0,23.7,243,51,1.66
SankarpurF.F.T.A.(Sankarpur),SE,156,86-91,64-69,20 54 1 N,87 55 29 E,28.5,22.0,237,95,1.62
TajpurJaldha,SE,154,90-95,37-42,20 53 39 N,88 0 10 E,28.6,22.3,244,55,1.62
Shankarpur,SE,162,84-89,31-36,20 53 15 N,87 50 50 E,28.5,22.9,230,95,1.6
DighaMohanaF.F.T.A.(Digha),SE,164,85-90,37-42,20 51 36 N,87 46 25 E,28.5,23.6,232,95,1.6
Digha,SE,157,94-99,50-55,20 51 21 N,88 4 16 E,28.8,23.0,247,95,1.62
Junput,SE,163,103-108,59-64,20 47 44 N,88 7 17 E,28.8,24.1,243,95,1.66
